,label,metric,mean,ci_lower,ci_upper
0,場所,test/acc,0.7214285714285715,0.6748561874099169,0.7680009554472261
1,場所,test/precision,0.8699999999999999,0.7670319158908169,0.9729680841091829
2,場所,test/recall,0.65,0.5740909212871004,0.7259090787128997
3,場所,test/f1,0.7214285714285715,0.6748561874099169,0.7680009554472261
4,時間,test/acc,0.7266666666666667,0.6522912627901193,0.8010420705432141
5,時間,test/precision,0.6166666666666667,0.5693290391517791,0.6640042941815543
6,時間,test/recall,0.9,0.7760409935390877,1.0239590064609123
7,時間,test/f1,0.7266666666666667,0.6522912627901193,0.8010420705432141
8,逆接・譲歩,test/acc,0.6724139367974985,0.6460615156520209,0.6987663579429761
9,逆接・譲歩,test/precision,0.7716421790128687,0.743130742456922,0.8001536155688154
10,逆接・譲歩,test/recall,0.5975609756097561,0.5656717304152197,0.6294502208042925
11,逆接・譲歩,test/f1,0.6724139367974985,0.6460615156520209,0.6987663579429761
12,同時進行,test/acc,0.9153271641137664,0.9102637852974474,0.9203905429300853
13,同時進行,test/precision,0.8678994661487446,0.8590593120011534,0.8767396202963358
14,同時進行,test/recall,0.9684684684684685,0.9622256584488753,0.9747112784880616
15,同時進行,test/f1,0.9153271641137664,0.9102637852974474,0.9203905429300853
16,その他,test/acc,0.7189812767212148,0.6594156245658415,0.7785469288765882
17,その他,test/precision,0.9634920634920634,0.9285567145973928,0.998427412386734
18,その他,test/recall,0.59,0.5047922704732023,0.6752077295267976
19,その他,test/f1,0.7189812767212148,0.6594156245658415,0.7785469288765882
