,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_ha_and_ga,逆接・譲歩,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.7532467532467533
1,exclude_ha_and_ga,同時進行,0.8991596638655462,0.963963963963964,0.9304347826086956,0.9304347826086956
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_ha_and_ga,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_ha_and_ga,逆接・譲歩,0.8666666666666667,0.6341463414634146,0.7323943661971831,0.7323943661971831
1,exclude_ha_and_ga,同時進行,0.8790322580645161,0.9819819819819819,0.9276595744680851,0.9276595744680851
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
0,exclude_ha_and_ga,逆接・譲歩,0.8125,0.6341463414634146,0.7123287671232876,0.7123287671232876
1,exclude_ha_and_ga,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
0,exclude_ha_and_ga,逆接・譲歩,0.7333333333333333,0.5365853658536586,0.6197183098591549,0.6197183098591549
1,exclude_ha_and_ga,同時進行,0.8515625,0.9819819819819819,0.9121338912133892,0.9121338912133892
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_ha_and_ga,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_ha_and_ga,逆接・譲歩,0.75,0.5853658536585366,0.6575342465753424,0.6575342465753424
1,exclude_ha_and_ga,同時進行,0.8617886178861789,0.954954954954955,0.905982905982906,0.905982905982906
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,0.75,0.75,0.75,0.75
4,exclude_ha_and_ga,その他,1.0,0.6,0.75,0.75
0,exclude_ha_and_ga,逆接・譲歩,0.7586206896551724,0.5365853658536586,0.6285714285714286,0.6285714285714286
1,exclude_ha_and_ga,同時進行,0.8503937007874016,0.972972972972973,0.907563025210084,0.907563025210084
2,exclude_ha_and_ga,時間,0.5,0.5,0.5,0.5
3,exclude_ha_and_ga,場所,0.75,0.75,0.75,0.75
4,exclude_ha_and_ga,その他,1.0,0.6,0.75,0.75
0,exclude_ha_and_ga,逆接・譲歩,0.7027027027027027,0.6341463414634146,0.6666666666666666,0.6666666666666666
1,exclude_ha_and_ga,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_ha_and_ga,逆接・譲歩,0.7666666666666667,0.5609756097560976,0.647887323943662,0.647887323943662
1,exclude_ha_and_ga,同時進行,0.8582677165354331,0.9819819819819819,0.9159663865546218,0.9159663865546218
2,exclude_ha_and_ga,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_ha_and_ga,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_ha_and_ga,逆接・譲歩,0.7931034482758621,0.5609756097560976,0.6571428571428571,0.6571428571428571
1,exclude_ha_and_ga,同時進行,0.8629032258064516,0.963963963963964,0.9106382978723404,0.9106382978723404
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,0.8571428571428571,0.6,0.7058823529411765,0.7058823529411765
0,exclude_ha_and_ga,逆接・譲歩,0.7272727272727273,0.5853658536585366,0.6486486486486487,0.6486486486486487
1,exclude_ha_and_ga,同時進行,0.8617886178861789,0.954954954954955,0.905982905982906,0.905982905982906
2,exclude_ha_and_ga,時間,0.5,0.5,0.5,0.5
3,exclude_ha_and_ga,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
