,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.7086206828328094,0.6800293184748533,0.7372120471907656
1,逆接・譲歩,test/precision,0.7973760593096405,0.7666201694389919,0.8281319491802891
2,逆接・譲歩,test/recall,0.6439024390243901,0.5969667982567309,0.6908380797920494
3,逆接・譲歩,test/f1,0.7086206828328094,0.6800293184748533,0.7372120471907656
4,時間,test/acc,0.7433333333333333,0.6834198135438924,0.8032468531227742
5,時間,test/precision,0.6666666666666667,0.5866514720607449,0.7466818612725886
6,時間,test/recall,0.9,0.7760409935390877,1.0239590064609123
7,時間,test/f1,0.7433333333333333,0.6834198135438924,0.8032468531227742
8,同時進行,test/acc,0.9218427763028618,0.9167814757165521,0.9269040768891715
9,同時進行,test/precision,0.8823864594915912,0.8690893661587452,0.8956835528244372
10,同時進行,test/recall,0.9657657657657659,0.9552303880351287,0.9763011434964031
11,同時進行,test/f1,0.9218427763028618,0.9167814757165521,0.9269040768891715
12,その他,test/acc,0.7788237562231368,0.7045782581833375,0.8530692542629361
13,その他,test/precision,0.9582070707070708,0.917299640315846,0.9991145010982956
14,その他,test/recall,0.6799999999999999,0.58083279483127,0.7791672051687298
15,その他,test/f1,0.7788237562231368,0.7045782581833375,0.8530692542629361
16,場所,test/acc,0.7461904761904761,0.6619662531918105,0.8304146991891417
17,場所,test/precision,0.9166666666666666,0.8366514720607447,0.9966818612725885
18,場所,test/recall,0.675,0.5539811512453686,0.7960188487546315
19,場所,test/f1,0.7461904761904761,0.6619662531918105,0.8304146991891417
