,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_iru_aru_oku,逆接・譲歩,0.725,0.7073170731707317,0.7160493827160493,0.7160493827160493
1,exclude_iru_aru_oku,同時進行,0.8983050847457628,0.954954954954955,0.925764192139738,0.925764192139738
2,exclude_iru_aru_oku,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_iru_aru_oku,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_iru_aru_oku,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_iru_aru_oku,逆接・譲歩,0.8928571428571429,0.6097560975609756,0.7246376811594203,0.7246376811594203
1,exclude_iru_aru_oku,同時進行,0.873015873015873,0.990990990990991,0.9282700421940928,0.9282700421940928
2,exclude_iru_aru_oku,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_iru_aru_oku,場所,0.6666666666666666,1.0,0.8,0.8
4,exclude_iru_aru_oku,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_iru_aru_oku,逆接・譲歩,0.8148148148148148,0.5365853658536586,0.6470588235294118,0.6470588235294118
1,exclude_iru_aru_oku,同時進行,0.8503937007874016,0.972972972972973,0.907563025210084,0.907563025210084
2,exclude_iru_aru_oku,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_iru_aru_oku,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_iru_aru_oku,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_iru_aru_oku,逆接・譲歩,0.7435897435897436,0.7073170731707317,0.725,0.725
1,exclude_iru_aru_oku,同時進行,0.896551724137931,0.9369369369369369,0.9162995594713657,0.9162995594713657
2,exclude_iru_aru_oku,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_iru_aru_oku,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_iru_aru_oku,その他,0.875,0.7,0.7777777777777778,0.7777777777777778
0,exclude_iru_aru_oku,逆接・譲歩,0.75,0.5121951219512195,0.6086956521739131,0.6086956521739131
1,exclude_iru_aru_oku,同時進行,0.8461538461538461,0.990990990990991,0.9128630705394191,0.9128630705394191
2,exclude_iru_aru_oku,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_iru_aru_oku,場所,0.75,0.75,0.75,0.75
4,exclude_iru_aru_oku,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_iru_aru_oku,逆接・譲歩,0.7631578947368421,0.7073170731707317,0.7341772151898734,0.7341772151898734
1,exclude_iru_aru_oku,同時進行,0.8974358974358975,0.9459459459459459,0.9210526315789473,0.9210526315789473
2,exclude_iru_aru_oku,時間,0.5,0.5,0.5,0.5
3,exclude_iru_aru_oku,場所,0.75,0.75,0.75,0.75
4,exclude_iru_aru_oku,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_iru_aru_oku,逆接・譲歩,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7631578947368421
1,exclude_iru_aru_oku,同時進行,0.9067796610169492,0.963963963963964,0.9344978165938864,0.9344978165938864
2,exclude_iru_aru_oku,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_iru_aru_oku,場所,1.0,0.25,0.4,0.4
4,exclude_iru_aru_oku,その他,0.8181818181818182,0.9,0.8571428571428571,0.8571428571428571
0,exclude_iru_aru_oku,逆接・譲歩,0.7894736842105263,0.7317073170731707,0.759493670886076,0.759493670886076
1,exclude_iru_aru_oku,同時進行,0.905982905982906,0.954954954954955,0.9298245614035088,0.9298245614035088
2,exclude_iru_aru_oku,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_iru_aru_oku,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_iru_aru_oku,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_iru_aru_oku,逆接・譲歩,0.8275862068965517,0.5853658536585366,0.6857142857142857,0.6857142857142857
1,exclude_iru_aru_oku,同時進行,0.864,0.972972972972973,0.9152542372881356,0.9152542372881356
2,exclude_iru_aru_oku,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_iru_aru_oku,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_iru_aru_oku,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,exclude_iru_aru_oku,逆接・譲歩,0.8387096774193549,0.6341463414634146,0.7222222222222222,0.7222222222222222
1,exclude_iru_aru_oku,同時進行,0.8852459016393442,0.972972972972973,0.927038626609442,0.927038626609442
2,exclude_iru_aru_oku,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_iru_aru_oku,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_iru_aru_oku,その他,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
