,label,metric,mean,ci_lower,ci_upper
0,場所,test/acc,0.806060606060606,0.7567354166258091,0.855385795495403
1,場所,test/precision,0.917142857142857,0.8143576649793127,1.0199280493064014
2,場所,test/recall,0.75,0.6807048087825162,0.8192951912174838
3,場所,test/f1,0.806060606060606,0.7567354166258091,0.855385795495403
4,同時進行,test/acc,0.9135276668574072,0.9087897566486821,0.9182655770661322
5,同時進行,test/precision,0.8746420712523599,0.8643858331731787,0.8848983093315411
6,同時進行,test/recall,0.9567567567567569,0.9435904943018163,0.9699230192116974
7,同時進行,test/f1,0.9135276668574072,0.9087897566486821,0.9182655770661322
8,逆接・譲歩,test/acc,0.6954654450454172,0.6793938884270627,0.7115370016637717
9,逆接・譲歩,test/precision,0.7762232914351107,0.7408331786938431,0.8116134041763783
10,逆接・譲歩,test/recall,0.6365853658536585,0.6011652149986445,0.6720055167086726
11,逆接・譲歩,test/f1,0.6954654450454172,0.6793938884270627,0.7115370016637717
12,その他,test/acc,0.7665032679738562,0.7111176648655386,0.8218888710821737
13,その他,test/precision,1.0,,
14,その他,test/recall,0.63,0.5564034176256892,0.7035965823743108
15,その他,test/f1,0.7665032679738562,0.7111176648655386,0.8218888710821737
16,時間,test/acc,0.7566666666666666,0.6981953202616301,0.8151380130717031
17,時間,test/precision,0.6833333333333333,0.6110239128978012,0.7556427537688655
18,時間,test/recall,0.9,0.7760409935390877,1.0239590064609123
19,時間,test/f1,0.7566666666666666,0.6981953202616301,0.8151380130717031
