,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_koso,逆接・譲歩,0.8148148148148148,0.5365853658536586,0.6470588235294118,0.6470588235294118
1,exclude_koso,同時進行,0.84375,0.972972972972973,0.9037656903765691,0.9037656903765691
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_koso,逆接・譲歩,0.7714285714285715,0.6585365853658537,0.7105263157894737,0.7105263157894737
1,exclude_koso,同時進行,0.8823529411764706,0.9459459459459459,0.9130434782608695,0.9130434782608695
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,exclude_koso,逆接・譲歩,0.75,0.6585365853658537,0.7012987012987013,0.7012987012987013
1,exclude_koso,同時進行,0.875,0.9459459459459459,0.9090909090909091,0.9090909090909091
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.6,0.75,0.75
0,exclude_koso,逆接・譲歩,0.7714285714285715,0.6585365853658537,0.7105263157894737,0.7105263157894737
1,exclude_koso,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_koso,逆接・譲歩,0.7435897435897436,0.7073170731707317,0.725,0.725
1,exclude_koso,同時進行,0.8983050847457628,0.954954954954955,0.925764192139738,0.925764192139738
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_koso,逆接・譲歩,0.8064516129032258,0.6097560975609756,0.6944444444444444,0.6944444444444444
1,exclude_koso,同時進行,0.8709677419354839,0.972972972972973,0.9191489361702128,0.9191489361702128
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_koso,逆接・譲歩,0.8666666666666667,0.6341463414634146,0.7323943661971831,0.7323943661971831
1,exclude_koso,同時進行,0.8780487804878049,0.972972972972973,0.9230769230769231,0.9230769230769231
2,exclude_koso,時間,0.5,0.5,0.5,0.5
3,exclude_koso,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_koso,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,exclude_koso,逆接・譲歩,0.7931034482758621,0.5609756097560976,0.6571428571428571,0.6571428571428571
1,exclude_koso,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_koso,逆接・譲歩,0.6382978723404256,0.7317073170731707,0.6818181818181818,0.6818181818181818
1,exclude_koso,同時進行,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9009009009009009
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_koso,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_koso,逆接・譲歩,0.8064516129032258,0.6097560975609756,0.6944444444444444,0.6944444444444444
1,exclude_koso,同時進行,0.8629032258064516,0.963963963963964,0.9106382978723404,0.9106382978723404
2,exclude_koso,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_koso,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,exclude_koso,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
