,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.6797268907563025,0.632441897096142,0.7270118844164631
1,その他,test/precision,0.9690476190476189,0.9305377220888972,1.0075575160063408
2,その他,test/recall,0.53,0.4742184470925895,0.5857815529074105
3,その他,test/f1,0.6797268907563025,0.632441897096142,0.7270118844164631
4,時間,test/acc,0.6466666666666667,0.49451150958663237,0.7988218237467011
5,時間,test/precision,0.5499999999999999,0.4273390293761486,0.6726609706238512
6,時間,test/recall,0.8,0.5944372430919566,1.0055627569080436
7,時間,test/f1,0.6466666666666667,0.49451150958663237,0.7988218237467011
8,逆接・譲歩,test/acc,0.6604305851527215,0.6263506680653741,0.6945105022400688
9,逆接・譲歩,test/precision,0.7832528203685272,0.7558185376452243,0.81068710309183
10,逆接・譲歩,test/recall,0.5756097560975609,0.5286741153299017,0.6225453968652201
11,逆接・譲歩,test/f1,0.6604305851527215,0.6263506680653741,0.6945105022400688
12,場所,test/acc,0.7214285714285715,0.6748561874099169,0.7680009554472261
13,場所,test/precision,0.7099999999999999,0.6131849209962947,0.806815079003705
14,場所,test/recall,0.75,,
15,場所,test/f1,0.7214285714285715,0.6748561874099169,0.7680009554472261
16,同時進行,test/acc,0.9146007134866126,0.908523535497104,0.9206778914761213
17,同時進行,test/precision,0.8632226683348074,0.8506654841573973,0.8757798525122176
18,同時進行,test/recall,0.972972972972973,0.9663662038553468,0.9795797420905993
19,同時進行,test/f1,0.9146007134866126,0.908523535497104,0.9206778914761213
