,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_mo,逆接・譲歩,0.75,0.6585365853658537,0.7012987012987013,0.7012987012987013
1,exclude_mo,同時進行,0.8842975206611571,0.963963963963964,0.9224137931034483,0.9224137931034483
2,exclude_mo,時間,0.5,0.5,0.5,0.5
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_mo,逆接・譲歩,0.7037037037037037,0.4634146341463415,0.5588235294117647,0.5588235294117647
1,exclude_mo,同時進行,0.84375,0.972972972972973,0.9037656903765691,0.9037656903765691
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,0.75,0.75,0.75,0.75
4,exclude_mo,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_mo,逆接・譲歩,0.7428571428571429,0.6341463414634146,0.6842105263157895,0.6842105263157895
1,exclude_mo,同時進行,0.8688524590163934,0.954954954954955,0.9098712446351931,0.9098712446351931
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_mo,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_mo,逆接・譲歩,0.8571428571428571,0.5853658536585366,0.6956521739130435,0.6956521739130435
1,exclude_mo,同時進行,0.8582677165354331,0.9819819819819819,0.9159663865546218,0.9159663865546218
2,exclude_mo,時間,0.0,0.0,0.0,0.0
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,0.8571428571428571,0.6,0.7058823529411765,0.7058823529411765
0,exclude_mo,逆接・譲歩,0.782608695652174,0.43902439024390244,0.5625,0.5625
1,exclude_mo,同時進行,0.8195488721804511,0.9819819819819819,0.8934426229508197,0.8934426229508197
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_mo,その他,1.0,0.6,0.75,0.75
0,exclude_mo,逆接・譲歩,0.8518518518518519,0.5609756097560976,0.6764705882352942,0.6764705882352942
1,exclude_mo,同時進行,0.8582677165354331,0.9819819819819819,0.9159663865546218,0.9159663865546218
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,0.75,0.75,0.75,0.75
4,exclude_mo,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_mo,逆接・譲歩,0.7857142857142857,0.5365853658536586,0.6376811594202898,0.6376811594202898
1,exclude_mo,同時進行,0.8650793650793651,0.9819819819819819,0.919831223628692,0.919831223628692
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,1.0,0.6,0.75,0.75
0,exclude_mo,逆接・譲歩,0.7941176470588235,0.6585365853658537,0.72,0.72
1,exclude_mo,同時進行,0.8925619834710744,0.972972972972973,0.9310344827586207,0.9310344827586207
2,exclude_mo,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_mo,逆接・譲歩,0.7714285714285715,0.6585365853658537,0.7105263157894737,0.7105263157894737
1,exclude_mo,同時進行,0.8833333333333333,0.954954954954955,0.9177489177489178,0.9177489177489178
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_mo,逆接・譲歩,0.7931034482758621,0.5609756097560976,0.6571428571428571,0.6571428571428571
1,exclude_mo,同時進行,0.8582677165354331,0.9819819819819819,0.9159663865546218,0.9159663865546218
2,exclude_mo,時間,0.5,0.5,0.5,0.5
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
