,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.704225352112676,,
1,逆接・譲歩,test/precision,0.8333333333333334,,
2,逆接・譲歩,test/recall,0.6097560975609756,,
3,逆接・譲歩,test/f1,0.704225352112676,,
4,場所,test/acc,0.8571428571428571,,
5,場所,test/precision,1.0,,
6,場所,test/recall,0.75,,
7,場所,test/f1,0.8571428571428571,,
8,その他,test/acc,0.75,,
9,その他,test/precision,1.0,,
10,その他,test/recall,0.6,,
11,その他,test/f1,0.75,,
12,時間,test/acc,0.8,,
13,時間,test/precision,0.6666666666666666,,
14,時間,test/recall,1.0,,
15,時間,test/f1,0.8,,
16,同時進行,test/acc,0.919831223628692,,
17,同時進行,test/precision,0.8650793650793651,,
18,同時進行,test/recall,0.9819819819819819,,
19,同時進行,test/f1,0.919831223628692,,
