,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.893755814159267,0.8863645707086448,0.9011470576098891
1,同時進行,test/precision,0.8556595550936089,0.8335056686035057,0.8778134415837121
2,同時進行,test/recall,0.9378378378378379,0.9190761423353334,0.9565995333403424
3,同時進行,test/f1,0.893755814159267,0.8863645707086448,0.9011470576098891
4,場所,test/acc,0.6845238095238094,0.5832875017659599,0.785760117281659
5,場所,test/precision,0.7849999999999999,0.6375714158588427,0.9324285841411571
6,場所,test/recall,0.65,0.5260409935390877,0.7739590064609123
7,場所,test/f1,0.6845238095238094,0.5832875017659599,0.785760117281659
8,時間,test/acc,0.5971428571428572,0.4566163060015843,0.7376694082841301
9,時間,test/precision,,,
10,時間,test/recall,0.8,0.5944372430919566,1.0055627569080436
11,時間,test/f1,0.5971428571428572,0.4566163060015843,0.7376694082841301
12,その他,test/acc,0.297004662004662,0.22224344329275808,0.37176588071656597
13,その他,test/precision,0.6566666666666666,0.5051158320923486,0.8082175012409847
14,その他,test/recall,0.21000000000000002,0.14529149890040263,0.27470850109959744
15,その他,test/f1,0.297004662004662,0.22224344329275808,0.37176588071656597
16,逆接・譲歩,test/acc,0.59987441233863,0.5693002922637904,0.6304485324134697
17,逆接・譲歩,test/precision,0.6579827757799455,0.6210412469445138,0.6949243046153771
18,逆接・譲歩,test/recall,0.5658536585365853,0.4996835287197101,0.6320237883534605
19,逆接・譲歩,test/f1,0.59987441233863,0.5693002922637904,0.6304485324134697
