,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_particle,逆接・譲歩,0.625,0.6097560975609756,0.6172839506172839,0.6172839506172839
1,exclude_particle,同時進行,0.8728813559322034,0.9279279279279279,0.8995633187772926,0.8995633187772926
2,exclude_particle,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_particle,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_particle,その他,0.4,0.2,0.26666666666666666,0.26666666666666666
0,exclude_particle,逆接・譲歩,0.6285714285714286,0.5365853658536586,0.5789473684210527,0.5789473684210527
1,exclude_particle,同時進行,0.859504132231405,0.9369369369369369,0.896551724137931,0.896551724137931
2,exclude_particle,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_particle,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_particle,その他,0.5,0.3,0.375,0.375
0,exclude_particle,逆接・譲歩,0.6458333333333334,0.7560975609756098,0.6966292134831461,0.6966292134831461
1,exclude_particle,同時進行,0.9107142857142857,0.918918918918919,0.9147982062780269,0.9147982062780269
2,exclude_particle,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_particle,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_particle,その他,0.5,0.1,0.16666666666666666,0.16666666666666666
0,exclude_particle,逆接・譲歩,0.7777777777777778,0.5121951219512195,0.6176470588235294,0.6176470588235294
1,exclude_particle,同時進行,0.8384615384615385,0.9819819819819819,0.9045643153526971,0.9045643153526971
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,exclude_particle,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
0,exclude_particle,逆接・譲歩,0.6666666666666666,0.43902439024390244,0.5294117647058824,0.5294117647058824
1,exclude_particle,同時進行,0.7969924812030075,0.954954954954955,0.8688524590163934,0.8688524590163934
2,exclude_particle,時間,0.5,0.5,0.5,0.5
3,exclude_particle,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_particle,その他,0.3333333333333333,0.1,0.15384615384615385,0.15384615384615385
0,exclude_particle,逆接・譲歩,0.6060606060606061,0.4878048780487805,0.5405405405405406,0.5405405405405406
1,exclude_particle,同時進行,0.8267716535433071,0.9459459459459459,0.8823529411764706,0.8823529411764706
2,exclude_particle,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_particle,場所,0.75,0.75,0.75,0.75
4,exclude_particle,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_particle,逆接・譲歩,0.76,0.4634146341463415,0.5757575757575758,0.5757575757575758
1,exclude_particle,同時進行,0.8294573643410853,0.963963963963964,0.8916666666666667,0.8916666666666667
2,exclude_particle,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,exclude_particle,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_particle,その他,0.6666666666666666,0.4,0.5,0.5
0,exclude_particle,逆接・譲歩,0.6363636363636364,0.5121951219512195,0.5675675675675675,0.5675675675675675
1,exclude_particle,同時進行,0.8346456692913385,0.954954954954955,0.8907563025210085,0.8907563025210085
2,exclude_particle,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_particle,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_particle,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_particle,逆接・譲歩,0.5849056603773585,0.7560975609756098,0.6595744680851063,0.6595744680851063
1,exclude_particle,同時進行,0.9142857142857143,0.8648648648648649,0.8888888888888888,0.8888888888888888
2,exclude_particle,時間,0.5,0.5,0.5,0.5
3,exclude_particle,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_particle,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_particle,逆接・譲歩,0.6486486486486487,0.5853658536585366,0.6153846153846154,0.6153846153846154
1,exclude_particle,同時進行,0.8728813559322034,0.9279279279279279,0.8995633187772926,0.8995633187772926
2,exclude_particle,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_particle,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_particle,その他,0.5,0.3,0.375,0.375
