,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.8,,
1,時間,test/precision,0.6666666666666666,,
2,時間,test/recall,1.0,,
3,時間,test/f1,0.8,,
4,場所,test/acc,0.75,,
5,場所,test/precision,0.75,,
6,場所,test/recall,0.75,,
7,場所,test/f1,0.75,,
8,同時進行,test/acc,0.905982905982906,,
9,同時進行,test/precision,0.8617886178861789,,
10,同時進行,test/recall,0.954954954954955,,
11,同時進行,test/f1,0.905982905982906,,
12,その他,test/acc,0.6666666666666666,,
13,その他,test/precision,1.0,,
14,その他,test/recall,0.5,,
15,その他,test/f1,0.6666666666666666,,
16,逆接・譲歩,test/acc,0.6756756756756757,,
17,逆接・譲歩,test/precision,0.7575757575757576,,
18,逆接・譲歩,test/recall,0.6097560975609756,,
19,逆接・譲歩,test/f1,0.6756756756756757,,
