,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.5588235294117647,,
1,逆接・譲歩,test/precision,0.7037037037037037,,
2,逆接・譲歩,test/recall,0.4634146341463415,,
3,逆接・譲歩,test/f1,0.5588235294117647,,
4,同時進行,test/acc,0.8666666666666667,,
5,同時進行,test/precision,0.8062015503875969,,
6,同時進行,test/recall,0.9369369369369369,,
7,同時進行,test/f1,0.8666666666666667,,
8,時間,test/acc,0.6666666666666666,,
9,時間,test/precision,0.5,,
10,時間,test/recall,1.0,,
11,時間,test/f1,0.6666666666666666,,
12,場所,test/acc,0.75,,
13,場所,test/precision,0.75,,
14,場所,test/recall,0.75,,
15,場所,test/f1,0.75,,
16,その他,test/acc,0.5714285714285714,,
17,その他,test/precision,1.0,,
18,その他,test/recall,0.4,,
19,その他,test/f1,0.5714285714285714,,
