experiment_type,mean,bottom,up
normal,0.6881832532307279,0.6601636439226178,0.716202862538838
convert_all_words_to_dummy,0.2848585230716786,0.2359382572697831,0.333778788873574
exclude_content_words,0.578291242696224,0.5538235358520232,0.6027589495404249
exclude_ha_and_ga,0.6724139367974985,0.6460615156520209,0.6987663579429761
ordinal_forms_shuffle,0.5124712344459139,0.4874858962698992,0.5374565726219286
exclude_function_words,0.4991054267330842,0.4633284481270371,0.5348824053391313
exclude_particle,0.59987441233863,0.5693002922637904,0.6304485324134697
exclude_iru_aru_oku,0.7086206828328094,0.6800293184748533,0.7372120471907656
exclude_mo,0.6604305851527215,0.6263506680653741,0.6945105022400688
convert_content_words_to_dummy,0.5211363302223064,0.4902263563883474,0.5520463040562654
convert_function_words_to_dummy,0.5937417203168194,0.5613930963164188,0.62609034431722
latter-only,0.5588235294117647,,
exclude_koso,0.6954654450454172,0.6793938884270627,0.7115370016637717
former-only,0.6756756756756757,,
exclude_connectives,0.5454545454545454,,
convert_connectives_to_dummy,0.671814009469462,0.6417344560125133,0.7018935629264107
exclude_negation,0.704225352112676,,
