,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.7143796992481203,0.6540929390235714,0.7746664594726692
1,その他,test/precision,0.9833333333333334,0.9523435817181053,1.0143230849485614
2,その他,test/recall,0.5700000000000001,0.49135682673418163,0.6486431732658184
3,その他,test/f1,0.7143796992481203,0.6540929390235714,0.7746664594726692
4,同時進行,test/acc,0.9172810507080497,0.9103883087424658,0.9241737926736335
5,同時進行,test/precision,0.8687566040688905,0.8546646683780877,0.8828485397596934
6,同時進行,test/recall,0.972072072072072,0.9662424773784146,0.9779016667657294
7,同時進行,test/f1,0.9172810507080497,0.9103883087424658,0.9241737926736335
8,場所,test/acc,0.7303174603174604,0.6461967247181107,0.81443819591681
9,場所,test/precision,0.8166666666666667,0.7167277206355787,0.9166056126977546
10,場所,test/recall,0.725,0.5962898948635212,0.8537101051364787
11,場所,test/f1,0.7303174603174604,0.6461967247181107,0.81443819591681
12,逆接・譲歩,test/acc,0.6881832532307279,0.6601636439226178,0.716202862538838
13,逆接・譲歩,test/precision,0.8006450843130638,0.7725353431615595,0.8287548254645681
14,逆接・譲歩,test/recall,0.6097560975609756,0.5619520979380475,0.6575600971839037
15,逆接・譲歩,test/f1,0.6881832532307279,0.6601636439226178,0.716202862538838
16,時間,test/acc,0.6766666666666667,0.5960933124670738,0.7572400208662597
17,時間,test/precision,0.65,0.5239072911303151,0.776092708869685
18,時間,test/recall,0.8,0.6481818425742009,0.9518181574257992
19,時間,test/f1,0.6766666666666667,0.5960933124670738,0.7572400208662597
