,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,normal,逆接・譲歩,0.7586206896551724,0.5365853658536586,0.6285714285714286,0.6285714285714286
1,normal,同時進行,0.84375,0.972972972972973,0.9037656903765691,0.9037656903765691
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,normal,その他,0.8333333333333334,0.5,0.625,0.625
0,normal,逆接・譲歩,0.7878787878787878,0.6341463414634146,0.7027027027027027,0.7027027027027027
1,normal,同時進行,0.8780487804878049,0.972972972972973,0.9230769230769231,0.9230769230769231
2,normal,時間,0.5,0.5,0.5,0.5
3,normal,場所,0.75,0.75,0.75,0.75
4,normal,その他,1.0,0.6,0.75,0.75
0,normal,逆接・譲歩,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7560975609756098
1,normal,同時進行,0.9145299145299145,0.963963963963964,0.9385964912280702,0.9385964912280702
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,normal,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,normal,逆接・譲歩,0.7666666666666667,0.5609756097560976,0.647887323943662,0.647887323943662
1,normal,同時進行,0.8503937007874016,0.972972972972973,0.907563025210084,0.907563025210084
2,normal,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,normal,場所,1.0,0.25,0.4,0.4
4,normal,その他,1.0,0.6,0.75,0.75
0,normal,逆接・譲歩,0.7941176470588235,0.6585365853658537,0.72,0.72
1,normal,同時進行,0.8852459016393442,0.972972972972973,0.927038626609442,0.927038626609442
2,normal,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,normal,場所,0.6666666666666666,1.0,0.8,0.8
4,normal,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,normal,逆接・譲歩,0.8055555555555556,0.7073170731707317,0.7532467532467533,0.7532467532467533
1,normal,同時進行,0.8916666666666667,0.963963963963964,0.9264069264069265,0.9264069264069265
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,normal,その他,1.0,0.6,0.75,0.75
0,normal,逆接・譲歩,0.8695652173913043,0.4878048780487805,0.625,0.625
1,normal,同時進行,0.8384615384615385,0.9819819819819819,0.9045643153526971,0.9045643153526971
2,normal,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,normal,場所,0.8,1.0,0.8888888888888888,0.8888888888888888
4,normal,その他,1.0,0.9,0.9473684210526315,0.9473684210526315
0,normal,逆接・譲歩,0.75,0.5853658536585366,0.6575342465753424,0.6575342465753424
1,normal,同時進行,0.8617886178861789,0.954954954954955,0.905982905982906,0.905982905982906
2,normal,時間,0.3333333333333333,0.5,0.4,0.4
3,normal,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,normal,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,normal,逆接・譲歩,0.8333333333333334,0.6097560975609756,0.704225352112676,0.704225352112676
1,normal,同時進行,0.8709677419354839,0.972972972972973,0.9191489361702128,0.9191489361702128
2,normal,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,normal,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,normal,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,normal,逆接・譲歩,0.8846153846153846,0.5609756097560976,0.6865671641791045,0.6865671641791045
1,normal,同時進行,0.8527131782945736,0.990990990990991,0.9166666666666666,0.9166666666666666
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,0.75,0.75,0.75,0.75
4,normal,その他,1.0,0.6,0.75,0.75
