,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.854771597462823,0.8435992283620142,0.8659439665636319
1,同時進行,test/precision,0.827358323002046,0.8115053461789236,0.8432112998251685
2,同時進行,test/recall,0.8882882882882882,0.8514864069634926,0.9250901696130838
3,同時進行,test/f1,0.854771597462823,0.8435992283620142,0.8659439665636319
4,場所,test/acc,0.4882051282051282,0.34515126693941384,0.6312589894708425
5,場所,test/precision,0.45194444444444437,0.31606676162277025,0.5878221272661185
6,場所,test/recall,0.575,0.3910085440642229,0.758991455935777
7,場所,test/f1,0.4882051282051282,0.34515126693941384,0.6312589894708425
8,その他,test/acc,0.23482400296641784,0.16010469249637904,0.30954331343645664
9,その他,test/precision,,,
10,その他,test/recall,0.18,0.10772009963936025,0.25227990036063974
11,その他,test/f1,0.23482400296641784,0.16010469249637904,0.30954331343645664
12,逆接・譲歩,test/acc,0.5124712344459139,0.48748589626989924,0.5374565726219286
13,逆接・譲歩,test/precision,0.5469943126071553,0.5084558237156092,0.5855328014987013
14,逆接・譲歩,test/recall,0.502439024390244,0.43544516829716884,0.5694328804833192
15,逆接・譲歩,test/f1,0.5124712344459139,0.48748589626989924,0.5374565726219286
16,時間,test/acc,0.2899999999999999,0.10382061492905109,0.47617938507094876
17,時間,test/precision,,,
18,時間,test/recall,0.25,0.09505124192385961,0.4049487580761404
19,時間,test/f1,0.2899999999999999,0.10382061492905109,0.47617938507094876
