,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,ordinal_forms_shuffle,逆接・譲歩,0.6153846153846154,0.3902439024390244,0.47761194029850745,0.47761194029850745
1,ordinal_forms_shuffle,同時進行,0.8174603174603174,0.9279279279279279,0.869198312236287,0.869198312236287
2,ordinal_forms_shuffle,時間,0.5,0.5,0.5,0.5
3,ordinal_forms_shuffle,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,ordinal_forms_shuffle,その他,0.3333333333333333,0.3,0.3157894736842105,0.3157894736842105
0,ordinal_forms_shuffle,逆接・譲歩,0.6060606060606061,0.4878048780487805,0.5405405405405406,0.5405405405405406
1,ordinal_forms_shuffle,同時進行,0.8046875,0.9279279279279279,0.8619246861924686,0.8619246861924686
2,ordinal_forms_shuffle,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,ordinal_forms_shuffle,場所,0.75,0.75,0.75,0.75
4,ordinal_forms_shuffle,その他,0.5,0.1,0.16666666666666666,0.16666666666666666
0,ordinal_forms_shuffle,逆接・譲歩,0.68,0.4146341463414634,0.5151515151515151,0.5151515151515151
1,ordinal_forms_shuffle,同時進行,0.816793893129771,0.963963963963964,0.8842975206611571,0.8842975206611571
2,ordinal_forms_shuffle,時間,0.3333333333333333,0.5,0.4,0.4
3,ordinal_forms_shuffle,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,ordinal_forms_shuffle,その他,0.42857142857142855,0.3,0.35294117647058826,0.35294117647058826
0,ordinal_forms_shuffle,逆接・譲歩,0.4888888888888889,0.5365853658536586,0.5116279069767442,0.5116279069767442
1,ordinal_forms_shuffle,同時進行,0.8558558558558559,0.8558558558558559,0.8558558558558559,0.8558558558558559
2,ordinal_forms_shuffle,時間,,0.0,0.0,0.0
3,ordinal_forms_shuffle,場所,0.375,0.75,0.5,0.5
4,ordinal_forms_shuffle,その他,0.5,0.2,0.2857142857142857,0.2857142857142857
0,ordinal_forms_shuffle,逆接・譲歩,0.53125,0.4146341463414634,0.4657534246575342,0.4657534246575342
1,ordinal_forms_shuffle,同時進行,0.8015873015873016,0.9099099099099099,0.8523206751054853,0.8523206751054853
2,ordinal_forms_shuffle,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,ordinal_forms_shuffle,場所,0.75,0.75,0.75,0.75
4,ordinal_forms_shuffle,その他,0.2,0.1,0.13333333333333333,0.13333333333333333
0,ordinal_forms_shuffle,逆接・譲歩,0.47540983606557374,0.7073170731707317,0.5686274509803921,0.5686274509803921
1,ordinal_forms_shuffle,同時進行,0.8762886597938144,0.7657657657657657,0.8173076923076923,0.8173076923076923
2,ordinal_forms_shuffle,時間,,0.0,0.0,0.0
3,ordinal_forms_shuffle,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,ordinal_forms_shuffle,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,ordinal_forms_shuffle,逆接・譲歩,0.5,0.6341463414634146,0.5591397849462365,0.5591397849462365
1,ordinal_forms_shuffle,同時進行,0.8545454545454545,0.8468468468468469,0.8506787330316742,0.8506787330316742
2,ordinal_forms_shuffle,時間,,0.0,0.0,0.0
3,ordinal_forms_shuffle,場所,0.2,0.25,0.2222222222222222,0.2222222222222222
4,ordinal_forms_shuffle,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,ordinal_forms_shuffle,逆接・譲歩,0.5102040816326531,0.6097560975609756,0.5555555555555556,0.5555555555555556
1,ordinal_forms_shuffle,同時進行,0.8363636363636363,0.8288288288288288,0.832579185520362,0.832579185520362
2,ordinal_forms_shuffle,時間,,0.0,0.0,0.0
3,ordinal_forms_shuffle,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,ordinal_forms_shuffle,その他,0.5,0.2,0.2857142857142857,0.2857142857142857
0,ordinal_forms_shuffle,逆接・譲歩,0.5333333333333333,0.3902439024390244,0.4507042253521127,0.4507042253521127
1,ordinal_forms_shuffle,同時進行,0.8130081300813008,0.9009009009009009,0.8547008547008547,0.8547008547008547
2,ordinal_forms_shuffle,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,ordinal_forms_shuffle,場所,0.5,0.75,0.6,0.6
4,ordinal_forms_shuffle,その他,0.5,0.4,0.4444444444444444,0.4444444444444444
0,ordinal_forms_shuffle,逆接・譲歩,0.5294117647058824,0.43902439024390244,0.48,0.48
1,ordinal_forms_shuffle,同時進行,0.7969924812030075,0.954954954954955,0.8688524590163934,0.8688524590163934
2,ordinal_forms_shuffle,時間,,0.0,0.0,0.0
3,ordinal_forms_shuffle,場所,0.0,0.0,0.0,0.0
4,ordinal_forms_shuffle,その他,,0.0,0.0,0.0
